step,time,#people,temp_out
0,08:00,14,-0.3
1,08:05,14,-0.3
2,08:10,14,-1.3
3,08:15,14,-0.8
4,08:20,14,-1.4
5,08:25,14,-1.8
6,08:30,39,-3.0
7,08:35,39,-1.8
8,08:40,39,-2.0
9,08:45,34,-1.8
10,08:50,34,-1.5
11,08:55,34,-0.6
12,09:00,34,-0.7
13,09:05,34,-0.3
14,09:10,34,-0.7
15,09:15,34,-1.1
16,09:20,34,-0.3
17,09:25,2,-0.8
18,09:30,2,-1.4
19,09:35,2,-1.1
20,09:40,2,-1.1
21,09:45,2,-1.8
22,09:50,2,-1.6
23,09:55,2,-1.2
24,10:00,2,-1.3
25,10:05,36,-1.4
26,10:10,36,-0.2
27,10:15,36,-0.2
28,10:20,36,-0.3
29,10:25,36,-0.1
30,10:30,47,-0.3
31,10:35,47,-1.6
32,10:40,47,-0.8
33,10:45,47,-0.7
34,10:50,47,-1.4
35,10:55,47,-1.0
36,11:00,47,-1.2
37,11:05,36,-1.2
38,11:10,36,-1.6
39,11:15,36,-2.2
40,11:20,36,-2.8
41,11:25,36,-1.6
42,11:30,36,-1.3
43,11:35,36,-1.3
44,11:40,36,-1.5
45,11:45,36,-1.4
46,11:50,36,-1.7
47,11:55,5,-2.2
48,12:00,5,-2.7
49,12:05,5,-3.8
50,12:10,45,-4.5
51,12:15,45,-4.7
52,12:20,45,-4.0
53,12:25,45,-4.0
54,12:30,45,-4.5
55,12:35,45,-4.1
56,12:40,37,-4.0
57,12:45,37,-3.5
58,12:50,37,-3.6
59,12:55,37,-3.6
60,13:00,37,-4.3
61,13:05,37,-5.0
62,13:10,37,-5.0
63,13:15,0,-5.0
64,13:20,0,-5.0
65,13:25,0,-4.5
66,13:30,0,-4.9
67,13:35,0,-4.4
68,13:40,0,-4.6
69,13:45,0,-4.9
70,13:50,0,-5.0
71,13:55,44,-3.8
72,14:00,44,-3.7
73,14:05,44,-2.8
74,14:10,44,-2.7
75,14:15,44,-2.1
76,14:20,44,-2.0
77,14:25,44,-2.6
78,14:30,44,-2.6
79,14:35,14,-2.4
80,14:40,14,-1.6
81,14:45,0,-1.2
82,14:50,0,-0.8
83,14:55,0,-0.4
84,15:00,49,-0.1
85,15:05,49,-0.7
86,15:10,49,-1.0
87,15:15,49,-0.6
88,15:20,49,-0.7
89,15:25,49,0.0
90,15:30,49,0.9
91,15:35,49,1.2
92,15:40,49,1.7
93,15:45,49,2.3
94,15:50,4,2.9
95,15:55,4,3.0
96,16:00,4,2.7
97,16:05,30,2.6
98,16:10,30,3.0
99,16:15,30,2.0
100,16:20,30,2.4
101,16:25,30,2.6
102,16:30,30,2.1
103,16:35,30,2.2
104,16:40,30,2.6
105,16:45,30,2.4
106,16:50,30,2.2
107,16:55,31,2.4
108,17:00,31,1.4
109,17:05,31,1.1
110,17:10,31,1.2
111,17:15,33,0.9
112,17:20,33,1.2
113,17:25,33,1.3
114,17:30,33,1.6
115,17:35,33,1.8
116,17:40,12,1.6
117,17:45,12,1.7
118,17:50,12,1.2
119,17:55,12,1.6
120,18:00,12,1.5
