step,time,#people,temp_out
0,08:00,19,1.2
1,08:05,19,0.8
2,08:10,19,0.4
3,08:15,34,-0.5
4,08:20,34,-0.3
5,08:25,34,0.9
6,08:30,34,0.7
7,08:35,22,0.1
8,08:40,22,-0.1
9,08:45,22,-0.3
10,08:50,22,-0.0
11,08:55,22,0.4
12,09:00,22,0.6
13,09:05,22,0.4
14,09:10,45,0.4
15,09:15,45,1.5
16,09:20,45,1.5
17,09:25,45,1.6
18,09:30,45,1.7
19,09:35,26,2.9
20,09:40,26,2.9
21,09:45,26,2.8
22,09:50,26,2.3
23,09:55,26,2.3
24,10:00,26,1.9
25,10:05,26,2.3
26,10:10,26,1.8
27,10:15,26,1.8
28,10:20,6,1.4
29,10:25,6,1.6
30,10:30,44,2.1
31,10:35,44,2.5
32,10:40,44,2.3
33,10:45,44,3.1
34,10:50,44,3.5
35,10:55,44,3.5
36,11:00,44,4.0
37,11:05,44,4.1
38,11:10,17,3.8
39,11:15,17,4.4
40,11:20,17,4.6
41,11:25,17,5.0
42,11:30,17,4.2
43,11:35,17,4.6
44,11:40,17,4.7
45,11:45,17,4.2
46,11:50,2,4.0
47,11:55,2,4.5
48,12:00,2,5.4
49,12:05,2,5.0
50,12:10,2,5.4
51,12:15,12,5.5
52,12:20,12,5.2
53,12:25,12,4.4
54,12:30,12,4.2
55,12:35,12,4.9
56,12:40,12,4.8
57,12:45,12,4.6
58,12:50,12,3.9
59,12:55,12,4.8
60,13:00,46,4.8
61,13:05,46,4.4
62,13:10,21,4.2
63,13:15,21,4.2
64,13:20,21,5.5
65,13:25,21,5.9
66,13:30,21,6.5
67,13:35,21,6.3
68,13:40,21,6.0
69,13:45,21,5.2
70,13:50,38,4.5
71,13:55,38,4.6
72,14:00,38,5.2
73,14:05,38,5.6
74,14:10,38,5.0
75,14:15,38,4.9
76,14:20,21,4.9
77,14:25,21,4.9
78,14:30,21,5.3
79,14:35,21,6.0
80,14:40,21,6.7
81,14:45,21,6.2
82,14:50,21,5.4
83,14:55,28,5.5
84,15:00,28,5.5
85,15:05,28,6.5
86,15:10,28,7.6
87,15:15,28,7.9
88,15:20,28,7.6
89,15:25,28,7.9
90,15:30,28,8.3
91,15:35,22,7.9
92,15:40,22,8.4
93,15:45,22,7.9
94,15:50,22,7.7
95,15:55,22,7.5
96,16:00,22,7.8
97,16:05,22,8.7
98,16:10,22,8.5
99,16:15,20,8.0
100,16:20,20,7.9
101,16:25,20,7.0
102,16:30,20,7.3
103,16:35,20,7.1
104,16:40,20,7.2
105,16:45,20,7.0
106,16:50,20,7.0
107,16:55,20,7.2
108,17:00,20,7.2
109,17:05,33,6.7
110,17:10,33,7.0
111,17:15,33,6.8
112,17:20,33,7.4
113,17:25,33,7.2
114,17:30,12,7.3
115,17:35,12,6.1
116,17:40,12,6.3
117,17:45,12,6.7
118,17:50,12,6.7
119,17:55,12,6.5
120,18:00,15,6.9
