step,time,#people,temp_out
0,08:00,9,17.1
1,08:05,12,16.3
2,08:10,12,16.5
3,08:15,12,16.1
4,08:20,21,15.9
5,08:25,21,16.0
6,08:30,21,17.5
7,08:35,21,17.5
8,08:40,21,16.6
9,08:45,21,17.6
10,08:50,21,18.2
11,08:55,21,19.0
12,09:00,38,19.5
13,09:05,38,19.6
14,09:10,38,20.1
15,09:15,38,20.2
16,09:20,38,21.0
17,09:25,8,20.4
18,09:30,8,20.9
19,09:35,8,20.0
20,09:40,8,20.0
21,09:45,8,20.4
22,09:50,8,20.1
23,09:55,8,20.3
24,10:00,4,19.2
25,10:05,4,18.6
26,10:10,4,18.7
27,10:15,4,18.6
28,10:20,4,18.4
29,10:25,10,18.4
30,10:30,10,18.7
31,10:35,10,17.2
32,10:40,10,17.5
33,10:45,10,17.0
34,10:50,10,16.6
35,10:55,10,16.5
36,11:00,10,17.1
37,11:05,25,17.2
38,11:10,25,17.1
39,11:15,25,16.5
40,11:20,25,16.4
41,11:25,25,16.7
42,11:30,18,16.5
43,11:35,18,17.1
44,11:40,18,17.0
45,11:45,18,16.7
46,11:50,18,15.9
47,11:55,18,16.4
48,12:00,18,15.5
49,12:05,18,16.2
50,12:10,31,15.7
51,12:15,31,16.1
52,12:20,31,14.8
53,12:25,31,15.1
54,12:30,31,15.0
55,12:35,31,14.7
56,12:40,31,14.6
57,12:45,31,14.6
58,12:50,23,14.1
59,12:55,23,12.8
60,13:00,23,13.3
61,13:05,23,14.0
62,13:10,23,14.1
63,13:15,23,14.2
64,13:20,23,14.6
65,13:25,4,14.5
66,13:30,4,13.4
67,13:35,4,13.0
68,13:40,4,13.1
69,13:45,4,13.5
70,13:50,4,13.8
71,13:55,4,14.1
72,14:00,4,13.7
73,14:05,4,13.7
74,14:10,8,12.7
75,14:15,8,13.2
76,14:20,8,12.7
77,14:25,8,13.3
78,14:30,8,13.3
79,14:35,8,13.8
80,14:40,35,13.5
81,14:45,35,12.7
82,14:50,35,12.4
83,14:55,35,11.8
84,15:00,35,11.9
85,15:05,35,11.9
86,15:10,35,12.0
87,15:15,35,12.2
88,15:20,35,12.3
89,15:25,10,11.8
90,15:30,10,12.6
91,15:35,10,12.4
92,15:40,10,12.5
93,15:45,10,12.7
94,15:50,38,12.4
95,15:55,38,11.1
96,16:00,38,11.4
97,16:05,38,11.8
98,16:10,11,12.3
99,16:15,11,11.9
100,16:20,11,12.0
101,16:25,11,11.4
102,16:30,11,11.7
103,16:35,11,11.7
104,16:40,11,11.8
105,16:45,11,12.1
106,16:50,11,11.8
107,16:55,11,12.4
108,17:00,0,12.4
109,17:05,0,12.5
110,17:10,1,11.3
111,17:15,1,11.2
112,17:20,1,11.3
113,17:25,31,11.5
114,17:30,31,12.6
115,17:35,31,12.0
116,17:40,31,11.3
117,17:45,31,11.0
118,17:50,31,10.6
119,17:55,31,10.6
120,18:00,31,9.8
