step,time,#people,temp_out
0,08:00,20,22.0
1,08:05,20,21.5
2,08:10,20,20.8
3,08:15,20,21.6
4,08:20,20,23.1
5,08:25,20,22.5
6,08:30,20,22.4
7,08:35,20,22.2
8,08:40,10,22.4
9,08:45,10,23.0
10,08:50,10,23.7
11,08:55,10,23.5
12,09:00,10,23.7
13,09:05,10,23.7
14,09:10,10,23.8
15,09:15,16,22.9
16,09:20,16,22.2
17,09:25,16,22.1
18,09:30,16,22.0
19,09:35,16,21.9
20,09:40,31,21.3
21,09:45,31,20.9
22,09:50,31,21.2
23,09:55,31,20.8
24,10:00,31,20.6
25,10:05,31,20.8
26,10:10,31,20.4
27,10:15,6,20.0
28,10:20,6,20.1
29,10:25,6,20.1
30,10:30,6,19.5
31,10:35,6,20.2
32,10:40,6,20.3
33,10:45,6,21.0
34,10:50,6,21.2
35,10:55,44,20.8
36,11:00,44,20.4
37,11:05,44,20.6
38,11:10,44,21.1
39,11:15,44,21.9
40,11:20,40,22.0
41,11:25,40,22.1
42,11:30,40,21.5
43,11:35,40,21.3
44,11:40,9,20.6
45,11:45,9,20.3
46,11:50,9,21.2
47,11:55,9,20.5
48,12:00,47,19.7
49,12:05,47,19.7
50,12:10,47,20.4
51,12:15,47,22.0
52,12:20,47,21.9
53,12:25,47,22.4
54,12:30,47,22.4
55,12:35,47,23.2
56,12:40,47,23.1
57,12:45,10,22.8
58,12:50,10,22.8
59,12:55,10,23.7
60,13:00,10,24.1
61,13:05,10,23.2
62,13:10,10,23.8
63,13:15,35,23.2
64,13:20,35,22.7
65,13:25,35,23.3
66,13:30,35,22.8
67,13:35,35,22.9
68,13:40,10,22.3
69,13:45,10,22.2
70,13:50,10,22.5
71,13:55,10,22.6
72,14:00,10,22.8
73,14:05,10,23.0
74,14:10,10,23.5
75,14:15,21,23.7
76,14:20,21,23.5
77,14:25,21,23.4
78,14:30,21,23.5
79,14:35,21,24.0
80,14:40,21,23.7
81,14:45,21,23.6
82,14:50,21,22.8
83,14:55,35,22.6
84,15:00,35,22.0
85,15:05,35,21.5
86,15:10,35,21.3
87,15:15,35,21.1
88,15:20,35,20.6
89,15:25,35,20.1
90,15:30,35,19.8
91,15:35,35,20.7
92,15:40,35,20.0
93,15:45,43,20.7
94,15:50,43,20.4
95,15:55,43,19.9
96,16:00,43,20.1
97,16:05,43,20.0
98,16:10,43,20.1
99,16:15,43,20.5
100,16:20,43,20.1
101,16:25,32,20.3
102,16:30,32,20.7
103,16:35,46,20.6
104,16:40,46,20.7
105,16:45,46,21.1
106,16:50,46,21.1
107,16:55,46,21.4
108,17:00,46,20.9
109,17:05,46,21.7
110,17:10,46,22.2
111,17:15,33,21.7
112,17:20,33,21.3
113,17:25,33,21.5
114,17:30,33,21.5
115,17:35,33,21.1
116,17:40,33,19.9
117,17:45,33,20.2
118,17:50,33,19.9
119,17:55,33,20.5
120,18:00,10,20.5
