step,time,#people,temp_out
0,08:00,50,16.0
1,08:05,50,16.1
2,08:10,50,16.2
3,08:15,50,16.4
4,08:20,50,16.4
5,08:25,50,16.5
6,08:30,50,16.8
7,08:35,50,16.7
8,08:40,50,16.8
9,08:45,50,16.9
10,08:50,50,17.0
11,08:55,50,17.2
12,09:00,50,17.4
13,09:05,50,17.4
14,09:10,50,17.5
15,09:15,50,17.5
16,09:20,50,17.6
17,09:25,50,17.8
18,09:30,50,17.9
19,09:35,50,18.0
20,09:40,50,18.1
21,09:45,50,18.2
22,09:50,50,18.3
23,09:55,50,18.2
24,10:00,50,18.3
25,10:05,50,18.4
26,10:10,50,18.5
27,10:15,50,18.6
28,10:20,50,18.7
29,10:25,50,18.8
30,10:30,50,18.9
31,10:35,50,18.9
32,10:40,50,18.9
33,10:45,50,18.7
34,10:50,50,18.8
35,10:55,50,18.8
36,11:00,10,18.8
37,11:05,10,18.9
38,11:10,10,19.0
39,11:15,10,19.2
40,11:20,10,19.3
41,11:25,10,19.4
42,11:30,10,19.5
43,11:35,10,19.5
44,11:40,10,19.5
45,11:45,10,19.7
46,11:50,10,19.6
47,11:55,10,19.7
48,12:00,0,19.8
49,12:05,0,19.8
50,12:10,0,19.9
51,12:15,0,20.0
52,12:20,0,20.0
53,12:25,0,20.1
54,12:30,0,20.1
55,12:35,0,20.2
56,12:40,0,20.3
57,12:45,0,20.4
58,12:50,0,20.3
59,12:55,0,20.4
60,13:00,10,20.5
61,13:05,10,20.6
62,13:10,10,20.5
63,13:15,10,20.6
64,13:20,10,20.6
65,13:25,10,20.7
66,13:30,10,20.8
67,13:35,10,20.9
68,13:40,10,20.9
69,13:45,10,21.0
70,13:50,10,21.2
71,13:55,10,21.1
72,14:00,0,20.9
73,14:05,0,20.7
74,14:10,0,20.5
75,14:15,0,20.4
76,14:20,0,20.2
77,14:25,0,20.0
78,14:30,0,19.8
79,14:35,0,19.7
80,14:40,0,19.4
81,14:45,0,19.5
82,14:50,0,19.4
83,14:55,0,19.2
84,15:00,30,19.1
85,15:05,30,19.0
86,15:10,30,19.0
87,15:15,30,18.8
88,15:20,30,18.7
89,15:25,30,18.6
90,15:30,30,18.6
91,15:35,30,18.5
92,15:40,30,18.3
93,15:45,30,18.1
94,15:50,30,18.0
95,15:55,30,18.3
96,16:00,30,18.5
97,16:05,30,18.4
98,16:10,30,18.3
99,16:15,30,18.1
100,16:20,30,18.0
101,16:25,30,17.9
102,16:30,30,17.8
103,16:35,30,17.6
104,16:40,30,17.8
105,16:45,30,17.8
106,16:50,30,17.7
107,16:55,30,17.6
108,17:00,0,17.5
109,17:05,0,17.4
110,17:10,10,17.3
111,17:15,10,17.4
112,17:20,10,17.2
113,17:25,10,17.1
114,17:30,10,17.1
115,17:35,10,17.0
116,17:40,10,17.1
117,17:45,10,17.2
118,17:50,10,17.0
119,17:55,10,17.0
120,18:00,0,17.0
